nfl_player_id,nfl_player_name,nfl_display_name,nfl_position,nfl_position_group,sportradar_player_id,sportradar_name,sportradar_display_name,sportradar_first_name,sportradar_last_name,sportradar_position,sportradar_jersey,sportradar_height,sportradar_weight,sportradar_birth_date,sportradar_experience,sportradar_college,sportradar_team_alias,sportradar_status,match_type,match_score
00-0032268,M.Mariota,Marcus Mariota,QB,QB,7c16c04c-04de-41f3-ac16-ad6a9435e3f7,Marcus Mariota,,Marcus,Mariota,QB,18.0,76,222.0,1993-10-30,11,Oregon,WAS,ACT,exact_name_position,1.0
00-0032381,T.Decker,Taylor Decker,T,OL,1b17a67d-c771-4e7d-80ea-fb1d19adb200,Taylor Decker,,Taylor,Decker,T,68.0,79,324.0,1994-08-23,10,Ohio State,DET,ACT,exact_name_position,1.0
00-0032383,R.Kelly,Ryan Kelly,C,OL,66990fc9-f98d-4712-8a0e-524372b9102f,Ryan Kelly,,Ryan,Kelly,C,78.0,76,307.0,1993-05-30,10,Alabama,MIN,ACT,exact_name_position,1.0
00-0032385,S.Shepard,Sterling Shepard,WR,WR,1ffc735b-74d8-44d2-ab32-00c5485c799f,Sterling Shepard,,Sterling,Shepard,WR,17.0,70,194.0,1993-02-10,10,Oklahoma,TB,ACT,exact_name_position,1.0
00-0032392,A.Hooper,Austin Hooper,TE,TE,90c2a93f-d837-4e1b-b57c-56648903a8db,Austin Hooper,,Austin,Hooper,TE,81.0,76,254.0,1994-10-29,10,Stanford,NE,ACT,exact_name_position,1.0
00-0032394,N.Vannett,Nick Vannett,TE,TE,c731aa8a-778b-4ccd-a19f-517eb66f47b7,Nick Vannett,,Nick,Vannett,TE,45.0,77,257.0,1993-03-06,9,Ohio State,MIN,ACT,exact_name_position,1.0
00-0032398,C.Moore,Chris Moore,WR,WR,0b504d67-639b-4ba8-979a-498a3086257b,Chris Moore,,Chris,Moore,WR,19.0,73,200.0,1993-06-16,9,Cincinnati,WAS,ACT,exact_name_position,1.0
00-0032399,M.Killebrew,Miles Killebrew,SS,DB,4419b655-867f-436b-8233-6d45f4dfef77,Miles Killebrew,,Miles,Killebrew,SAF,28.0,74,222.0,1993-05-10,10,Southern Utah,PIT,ACT,fuzzy_name_position,1.0
00-0032434,B.Allen,Brandon Allen,QB,QB,a8c3bcd7-69d0-4c5e-a876-6b33857942bc,Brandon Allen,,Brandon,Allen,QB,10.0,74,209.0,1992-09-05,9,Arkansas,TEN,ACT,exact_name_position,1.0
00-0032442,E.Roberts,Elandon Roberts,ILB,LB,f6d7cf0f-72d2-473f-a44b-4a253587ca0f,Elandon Roberts,,Elandon,Roberts,LB,52.0,71,235.0,1994-04-22,10,Houston,LV,ACT,fuzzy_name_position,1.0
